Empty,Loudness,Sharpness,AI,Roughness,FS,OA SPL,Subjective Rating
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,4.89,0.53,99.73,0.19,0.79,47.92,2
a,4.56,0.39,99.73,0.22,0.51,48.01,2
a,4.66,0.4,99.75,0.22,0.58,48.04,2
a,4.66,0.4,99.75,0.22,0.62,47.99,2
a,4.57,0.4,99.73,0.23,0.57,48.01,2
a,4.52,0.39,99.73,0.24,0.82,47.83,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,1.81,0.69,99.9,0.12,0.31,33.74,2
a,1.85,0.7,99.89,0.13,0.34,37.54,2
a,1.86,0.69,99.88,0.14,0.35,37.54,2
a,1.91,0.7,99.87,0.15,0.34,37.7,2
a,1.97,0.69,99.86,0.15,0.4,37.7,2
a,1.93,0.68,99.88,0.15,0.36,37.92,2
a,6.56,0.43,98.79,0.37,0.85,51.06,3
a,6.54,0.44,98.83,0.28,0.74,50.93,3
a,6.51,0.43,98.83,0.27,0.69,50.95,3
a,6.51,0.42,98.84,0.26,0.81,51.02,3
a,6.5,0.43,98.84,0.24,0.52,50.95,3
a,6.58,0.43,98.86,0.26,0.83,51.04,3
a,6.56,0.43,98.79,0.37,0.85,51.06,3
a,6.54,0.44,98.83,0.28,0.74,50.93,3
a,6.51,0.43,98.83,0.27,0.69,50.95,3
a,6.51,0.42,98.84,0.26,0.81,51.02,3
a,6.5,0.43,98.84,0.24,0.52,50.95,3
a,6.58,0.43,98.86,0.26,0.83,51.04,3
a,4.23,0.86,99.93,1.8,0.77,42.92,3
a,4.22,0.84,99.93,1.84,0.77,43.23,3
a,4.22,0.84,99.93,1.84,0.76,43.04,3
a,4.24,0.85,99.92,1.8,0.77,43.27,3
a,4.25,0.85,99.9,1.78,0.77,43.02,3
a,4.22,0.84,99.91,1.79,0.77,43.14,3
a,4.23,0.86,99.93,1.8,0.77,42.92,3
a,4.22,0.84,99.93,1.84,0.77,43.23,3
a,4.22,0.84,99.93,1.84,0.76,43.04,3
a,4.24,0.85,99.92,1.8,0.77,43.27,3
a,4.25,0.85,99.9,1.78,0.77,43.02,3
a,4.22,0.84,99.91,1.79,0.77,43.14,3
a,6.56,0.43,98.79,0.37,0.85,51.06,3
a,6.54,0.44,98.83,0.28,0.74,50.93,3
a,6.51,0.43,98.83,0.27,0.69,50.95,3
a,6.51,0.42,98.84,0.26,0.81,51.02,3
a,6.5,0.43,98.84,0.24,0.52,50.95,3
a,6.58,0.43,98.86,0.26,0.83,51.04,3
a,6.56,0.43,98.79,0.37,0.85,51.06,3
a,6.54,0.44,98.83,0.28,0.74,50.93,3
a,6.51,0.43,98.83,0.27,0.69,50.95,3
a,6.51,0.42,98.84,0.26,0.81,51.02,3
a,6.5,0.43,98.84,0.24,0.52,50.95,3
a,6.58,0.43,98.86,0.26,0.83,51.04,3
a,4.23,0.86,99.93,1.8,0.77,42.92,3
a,4.22,0.84,99.93,1.84,0.77,43.23,3
a,4.22,0.84,99.93,1.84,0.76,43.04,3
a,4.24,0.85,99.92,1.8,0.77,43.27,3
a,4.25,0.85,99.9,1.78,0.77,43.02,3
a,4.22,0.84,99.91,1.79,0.77,43.14,3
a,4.23,0.86,99.93,1.8,0.77,42.92,3
a,4.22,0.84,99.93,1.84,0.77,43.23,3
a,4.22,0.84,99.93,1.84,0.76,43.04,3
a,4.24,0.85,99.92,1.8,0.77,43.27,3
a,4.25,0.85,99.9,1.78,0.77,43.02,3
a,4.22,0.84,99.91,1.79,0.77,43.14,3
a,6.56,0.43,98.79,0.37,0.85,51.06,3
a,6.54,0.44,98.83,0.28,0.74,50.93,3
